type,n,density,processes,threads,total_time,generation_time,comm_total,comm_dist,comm_aggr,computation_total,computation_sort,computation_mult,sum_check
CSR_apr_Hybrid,10317,0.15,2,8,50.477,1.424,2.669,0.395,2.274,46.385,0.769,45.616,747379617060.000
CSR_apr_Hybrid,8192,0.15,4,2,55.452,1.891,2.171,0.439,1.732,51.390,0.715,50.675,374201665190.000
CSR_apr_Hybrid,8192,0.15,4,2,47.417,0.827,2.065,0.229,1.836,44.525,0.562,43.963,374201665190.000
CSR_apr_Hybrid,8192,0.15,4,2,51.023,0.779,2.142,0.226,1.916,48.102,0.543,47.559,374201665190.000
CSR_apr_Hybrid,8192,0.15,4,2,52.658,0.825,2.088,0.280,1.808,49.746,0.712,49.034,374201665190.000
CSR_apr_Hybrid,8192,0.15,4,2,50.597,0.993,1.929,0.247,1.682,47.674,0.650,47.024,374201665190.000
CSR_apr_Hybrid,8192,0.15,4,2,51.132,1.170,2.040,0.284,1.757,47.921,1.281,46.641,374201665190.000
CSR_apr_Hybrid,8192,0.15,4,2,47.252,0.811,1.973,0.236,1.737,44.468,0.652,43.815,374201665190.000
CSR_apr_Hybrid,8192,0.15,4,2,53.795,0.801,2.035,0.230,1.805,50.959,0.544,50.414,374201665190.000
CSR_apr_Hybrid,8192,0.15,4,2,54.559,0.929,1.936,0.301,1.636,51.693,1.381,50.312,374201665190.000
CSR_apr_Hybrid,8192,0.15,4,2,49.154,0.839,2.043,0.316,1.727,46.272,1.269,45.003,374201665190.000
CSR_apr_Hybrid,10317,0.15,4,4,59.316,1.465,4.223,0.419,3.805,53.627,0.952,52.675,747379617060.000
CSR_apr_Hybrid,10317,0.15,4,4,55.137,1.329,4.342,1.122,3.219,49.466,0.608,48.857,747379617060.000
CSR_apr_Hybrid,10317,0.15,4,4,52.128,1.455,3.933,0.614,3.318,46.740,1.175,45.565,747379617060.000
CSR_apr_Hybrid,10317,0.15,4,4,71.512,1.327,4.977,0.868,4.109,65.208,0.554,64.653,747379617060.000
CSR_apr_Hybrid,10317,0.15,4,4,53.751,1.417,3.664,0.372,3.291,48.670,1.216,47.455,747379617060.000
CSR_apr_Hybrid,10317,0.15,4,4,63.084,1.344,4.041,0.380,3.661,57.698,0.559,57.139,747379617060.000
CSR_apr_Hybrid,10317,0.15,4,4,55.693,1.494,3.635,0.407,3.228,50.564,1.117,49.447,747379617060.000
CSR_apr_Hybrid,10317,0.15,4,4,64.159,1.448,3.211,0.366,2.845,59.500,0.569,58.930,747379617060.000
CSR_apr_Hybrid,10317,0.15,4,4,45.395,1.445,3.141,0.509,2.632,40.808,1.471,39.337,747379617060.000
CSR_apr_Hybrid,10317,0.15,4,4,71.974,1.337,3.337,0.389,2.948,67.300,0.644,66.656,747379617060.000
CSR_apr_Hybrid,12995,0.15,4,8,74.091,2.084,5.374,0.597,4.777,66.633,1.079,65.555,1493498344163.000
CSR_apr_Hybrid,12995,0.15,4,8,64.431,2.089,4.962,0.826,4.136,57.380,1.674,55.705,1493498344163.000
CSR_apr_Hybrid,12995,0.15,4,8,68.650,2.191,6.763,1.085,5.678,59.696,1.219,58.477,1493498344163.000
CSR_apr_Hybrid,12995,0.15,4,8,85.405,2.300,5.877,1.016,4.861,77.228,1.053,76.175,1493498344163.000
CSR_apr_Hybrid,12995,0.15,4,8,82.595,2.326,6.122,1.168,4.954,74.147,1.320,72.827,1493498344163.000
CSR_apr_Hybrid,12995,0.15,4,8,76.535,2.085,5.095,0.654,4.441,69.356,0.992,68.364,1493498344163.000
