type,n,density,processes,threads,total_time,generation_time,comm_total,comm_dist,comm_aggr,computation_total,computation_sort,computation_mult,sum_check
CSR_apr_Hybrid,16384,0.15,2,32,62.482,2.581,3.726,0.420,3.306,56.175,0.604,55.571,2993442628723.000
CSR_apr_Hybrid,16384,0.15,2,32,71.110,2.753,2.753,0.488,2.265,65.604,0.615,64.989,2993442628723.000
CSR_apr_Hybrid,16384,0.15,2,32,73.677,3.160,3.582,0.821,2.760,66.935,0.828,66.107,2993442628723.000
CSR_apr_Hybrid,16384,0.15,2,32,56.915,2.408,2.836,0.427,2.408,51.671,0.541,51.130,2993442628723.000
CSR_apr_Hybrid,16384,0.15,2,32,54.724,2.405,2.878,0.425,2.453,49.440,0.546,48.895,2993442628723.000
CSR_apr_Hybrid,16384,0.15,2,32,70.833,2.738,2.755,0.469,2.286,65.340,0.624,64.715,2993442628723.000
CSR_apr_Hybrid,16384,0.15,2,32,59.481,2.759,2.707,0.410,2.297,54.015,0.605,53.411,2993442628723.000
CSR_apr_Hybrid,16384,0.15,2,32,57.735,2.386,2.842,0.428,2.414,52.506,0.546,51.960,2993442628723.000
CSR_apr_Hybrid,8192,0.15,2,4,38.231,0.790,1.389,0.173,1.217,36.052,0.786,35.266,374201665190.000
CSR_apr_Hybrid,8192,0.15,2,4,36.900,0.708,0.880,0.128,0.752,35.313,0.758,34.555,374201665190.000
CSR_apr_Hybrid,8192,0.15,2,4,36.891,0.698,0.900,0.128,0.773,35.292,0.729,34.563,374201665190.000
CSR_apr_Hybrid,8192,0.15,2,4,38.098,0.694,0.882,0.124,0.758,36.521,0.763,35.759,374201665190.000
CSR_apr_Hybrid,8192,0.15,2,4,55.627,0.791,1.355,0.211,1.144,53.481,0.779,52.702,374201665190.000
CSR_apr_Hybrid,8192,0.15,2,4,37.008,0.693,0.897,0.129,0.768,35.418,0.844,34.575,374201665190.000
CSR_apr_Hybrid,8192,0.15,2,4,37.752,0.759,1.250,0.206,1.043,35.743,0.825,34.918,374201665190.000
CSR_apr_Hybrid,8192,0.15,2,4,37.902,0.700,1.257,0.157,1.101,35.945,0.775,35.169,374201665190.000
CSR_apr_Hybrid,8192,0.15,2,4,37.433,0.695,0.902,0.130,0.772,35.835,0.795,35.040,374201665190.000
CSR_apr_Hybrid,8192,0.15,2,4,55.265,0.737,1.303,0.183,1.119,53.226,0.756,52.470,374201665190.000
CSR_apr_Hybrid,10317,0.15,2,8,58.988,1.252,2.070,0.344,1.726,55.666,0.788,54.878,747379617060.000
CSR_apr_Hybrid,10317,0.15,2,8,42.504,1.116,1.327,0.202,1.125,40.062,0.678,39.384,747379617060.000
CSR_apr_Hybrid,10317,0.15,2,8,60.530,1.103,1.779,0.264,1.515,57.647,0.682,56.965,747379617060.000
CSR_apr_Hybrid,10317,0.15,2,8,62.631,1.102,2.260,0.358,1.902,59.269,0.785,58.484,747379617060.000
CSR_apr_Hybrid,10317,0.15,2,8,58.155,1.139,1.958,0.289,1.669,55.059,0.784,54.274,747379617060.000
CSR_apr_Hybrid,10317,0.15,2,8,47.022,1.112,1.541,0.209,1.332,44.369,0.788,43.581,747379617060.000
CSR_apr_Hybrid,10317,0.15,2,8,63.323,1.196,2.086,0.276,1.810,60.040,0.801,59.239,747379617060.000
CSR_apr_Hybrid,10317,0.15,2,8,42.749,1.246,1.332,0.198,1.133,40.171,0.821,39.351,747379617060.000
CSR_apr_Hybrid,10317,0.15,2,8,41.575,1.116,1.314,0.200,1.114,39.146,0.705,38.441,747379617060.000
CSR_apr_Hybrid,10317,0.15,2,8,60.199,1.195,2.157,0.317,1.839,56.847,0.761,56.086,747379617060.000
